"custom_product_code","artwork_numeric_id","source_file","source_line","image_type","image_column","image_reference","resolved_image_filename","resolved_image_path","exists","used_fallback","reason"
"SAF2026-71","71","cafe24-products-63-109.csv","10","list","이미지등록(목록)","","71.jpg","public/images/artworks/71.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-71","71","cafe24-products-63-109.csv","10","tiny","이미지등록(작은목록)","","71.jpg","public/images/artworks/71.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-71","71","cafe24-products-63-109.csv","10","small","이미지등록(축소)","","71.jpg","public/images/artworks/71.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-72","72","cafe24-products-63-109.csv","11","detail","이미지등록(상세)","","72.jpg","public/images/artworks/72.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-72","72","cafe24-products-63-109.csv","11","list","이미지등록(목록)","","72.jpg","public/images/artworks/72.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-72","72","cafe24-products-63-109.csv","11","tiny","이미지등록(작은목록)","","72.jpg","public/images/artworks/72.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-72","72","cafe24-products-63-109.csv","11","small","이미지등록(축소)","","72.jpg","public/images/artworks/72.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-73","73","cafe24-products-63-109.csv","12","detail","이미지등록(상세)","","73.jpg","public/images/artworks/73.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-73","73","cafe24-products-63-109.csv","12","list","이미지등록(목록)","","73.jpg","public/images/artworks/73.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-73","73","cafe24-products-63-109.csv","12","tiny","이미지등록(작은목록)","","73.jpg","public/images/artworks/73.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-73","73","cafe24-products-63-109.csv","12","small","이미지등록(축소)","","73.jpg","public/images/artworks/73.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-74","74","cafe24-products-63-109.csv","13","detail","이미지등록(상세)","","74.jpg","public/images/artworks/74.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-74","74","cafe24-products-63-109.csv","13","list","이미지등록(목록)","","74.jpg","public/images/artworks/74.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-74","74","cafe24-products-63-109.csv","13","tiny","이미지등록(작은목록)","","74.jpg","public/images/artworks/74.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-74","74","cafe24-products-63-109.csv","13","small","이미지등록(축소)","","74.jpg","public/images/artworks/74.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-75","75","cafe24-products-63-109.csv","14","detail","이미지등록(상세)","","75.jpg","public/images/artworks/75.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-75","75","cafe24-products-63-109.csv","14","list","이미지등록(목록)","","75.jpg","public/images/artworks/75.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-75","75","cafe24-products-63-109.csv","14","tiny","이미지등록(작은목록)","","75.jpg","public/images/artworks/75.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-75","75","cafe24-products-63-109.csv","14","small","이미지등록(축소)","","75.jpg","public/images/artworks/75.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-76","76","cafe24-products-63-109.csv","15","detail","이미지등록(상세)","","76.jpg","public/images/artworks/76.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-76","76","cafe24-products-63-109.csv","15","list","이미지등록(목록)","","76.jpg","public/images/artworks/76.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-76","76","cafe24-products-63-109.csv","15","tiny","이미지등록(작은목록)","","76.jpg","public/images/artworks/76.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-76","76","cafe24-products-63-109.csv","15","small","이미지등록(축소)","","76.jpg","public/images/artworks/76.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-77","77","cafe24-products-63-109.csv","16","detail","이미지등록(상세)","","77.jpg","public/images/artworks/77.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-77","77","cafe24-products-63-109.csv","16","list","이미지등록(목록)","","77.jpg","public/images/artworks/77.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-77","77","cafe24-products-63-109.csv","16","tiny","이미지등록(작은목록)","","77.jpg","public/images/artworks/77.jpg","Y","Y","empty_reference_stem_fallback"
