이름,이미지,작품명,재료,크기,년도,에디션 넘버,가격,프로필,작가노트,작가 이력,이미지파일명
김레이시,,Returning around 2,oil on canvas,19x19cm,2025,,"₩170,000","예술은 제게 삶의 본질이자 자연스러운 흐름이었습니다. 서울여자대학교 서양화과를 졸업하고, 영국 노팅엄 트렌트 대학교와 미국 프랫 인스티튜트에서 석사과정을 마쳤습니다. 구상 작업을 통해 회화의 구조적 기반을 다진 뒤, 추상 회화로 전환하면서 내면의 균형과 존재의 본질을 선과 색으로 탐구해 왔습니다. 뉴욕, 시카고, 빈, 마이애미, 서울 등 다양한 도시에서 전시를 이어오며, 서로 다른 문화와 미적 감각이 교차하는 지점을 작업 속에 반영하고 있습니다. 예술은 제게 자신을 이해하고 타인과 연결되는 하나의 언어이며, 이를 통해 관람자 각자의 감각과 경험이 예술을 통해 직관적으로 교류될 수 있을 가능성을 모색하고 있습니다. 현재는 이러한 경험을 바탕으로 예술의 교육적 확장에도 관심을 두고, 창작과 나눔이 공존하는 예술 활동을 지속하고 있습니다.","작가노트
하루는 전철을 타고 강을 건너던 중이었지. 창가 옆에 기대어 있던 터라 차창 너머 펼쳐지는 살아있는 풍경을 확연히 느낄 수가 있었어. 저녁 무렵 흩뿌려대는 빛깔이었을까 아니면 햇살이 강해 그 시간대 즈음으로 생각해 버린걸까. 정확히 하루의 언제쯤 이었던가를 기억해내기란 생각보다 쉽지 않아. 그 보다 되려 그 순간이 무작정 떠올라서 지금도 그 시간만큼은 감각하게 돼. 하나의 빛깔이 여러 표정으로 하늘의 저편에서 흔들리는 물결위에 내려 앉던 것은 그때 그걸 보고 있는 나와 함께 동시에 숨쉬는 살아있는 모두를 느끼게 했어. 이토록 눈부시게 흩날리는 것들이 나를 포함한 모두에게 연결되어 있음을 보아서라고 하고 싶어. 매번 나는 낯선 시간을 마주하고 또 이미 알았던 순간인양 익숙해져. 손을 뻗어 휙 혹은 주욱 몸짓으로 그려내는 나의 선들은 캔버스 위 종이 위를 내달려. 그리고는 그 순간 이대로 ‘있음’을 전적으로 절대적으로 증명해버리고 말지. 나의 진심은 그어낸 선들과 쌓이는 층들 안에서 또렷해질 수 있어. 각 순간에 새겨진 ‘나’들은 마땅히 나를 지나고 넘어 다른 이들을 떠올리게 하지. 행위로 펼쳐내는 내 작업은 그래서 더불어 숨쉬는 모두를 향한 경탄을 내뱉어내고 연결을 꿈꾸게 해. 색으로 선으로 표현하는 내 작업은 그러니 타자를 향한 존중에 닿아 있어. 그러므로 또한 그들이 역시 나와 다르지 않음을.
-----------------------------------------------------------------------------------------
한 손을 들어 크게 휘저어 허공에 선을 그어 본다. 그 순간, 그대로 존재하는 나를 발견하기란 어렵지 않다. 지나간 궤적의 옅어짐이 이미 있었던 것을 의심하게 한다 해도 행위는 지워지지 않고 그 자국은 그대로 남아있다. 어쩌면 이 가장 단순하고도 직접적인 행위 그 자체는 이순간 내가 살아가고 존재함을 드러내 주는 데에 그 어떤 것보다도 가장 적절히 증명하고 있지 않은가. 직관의 결과이자 내면을 있는 그대로 나타내 주는 선을 긋는 작업으로 나의 진심은 자연스레 표현되리라 믿는다. 선들의 결합과 그것이 여러 번 반복되어 화면에 쌓여 올라가는 경험을 통해 내가 더욱 더 나 다워지고, 각 순간 각인된 ‘나’들의 조합을 마주했을 때 그것이 심지어 나 자신과 다름없더라 말하는 것은 따라서 과장이라고 할 수 없을 것이다.
 때때로 말을 통한 증명을 넘어 그보다 직관적인 방식으로써 존재를 확연히 드러낼 수 있으리라 생각한다. 즉, 본질에 가까이 가려는 것은 역설적으로 나 자신을 반드시 드러내려 애쓰지 않아도 순간의 진심들이 모였을 때 오히려 그 존재의 의미는 선명히 발현될 수 있을지도 모른다는 것이다. 그리고 이것은 말하기 이전, 본래의 자리, 그 순간순간 속에서 구현되는 진심이라고도 할 수 있다. 작업을 해가면서 나자신을 마주하는 경험은 결국 자연스레 나 뿐 아닌 다른 이들의 순간 들에도 마음을 둘 수밖에 없게 한다. 이는 오로지 내존재에만 매몰되기보다는 안을 바라봄으로, 동시에 함께 존재하는 다른 이들을 떠올리지 않을 수 없게 하고 따라서 내 작업 안에 공존의 무게가 놓이는 것은 어려운 일이 아니다.
 캔버스 위 선들을 그려 화면이 차근히 채워지는 작업으로 나의 페인팅은 완수된다. 나의 상상은 화면 안의 선들이 화면을 벗어나서도 그대로 연장되고 연결되며, 다시 돌아온 선들은 그대로 캔버스 위를 안착하게 되는데 각각의 선들이 만들어내는 형태는 생각을 통해 이미 상정해 놓은 지점을 찾아 만들어가는 것이라기 보다는 직관적인 반응을 따라 즉각적으로 이루어진다고 말할 수 있겠다. 오랜 기간 동안 새롭게 쌓일 층을 만들기 위해서 화면의 채워진 선들 위로 바탕색에 가까운 색으로 완전히 덮은 뒤 그 과정을 반복해 작업을 이어왔다. 최근에는 여기다 더해 화면의 전체가 아닌 부분들을 덮고 그 위에 새로운 선들을 올려 층을 만들어내고 있는데, 이것은 존재를 드러내는 각각의 순간은 순차적으로 일어나 쌓여 의미 있는 것이라기 보다는 각 순간안에 놓인 존재는 그 자체로 이미 의미를 지니지 않을까 하던 생각에 기인한 것이다. 각각의 순간이 한번에 드러나 캔버스 화면에 보일 때 그 안에 놓인 나를 비롯한 모든 존재를 떠올리고 동시에 연결되고자 하는 것은 자연스러운 일이 된다. 캔버스 위 직관적인 제스쳐로 표현되는 이 작업을 통해 나자신을 나타내어 보이는 것은 결국 존재하는 다른 모든 이들을 향한 존중에 닿아 있다.  
","ducation

2009 MFA Pratt Institute NY, USA
2007 MA Nottingham Trent University, UK 
2003 서울여자대학교 서양화과 학사

Selected Solo Exhibitions

2025 Anonymous Moments / 충주문화재단 목계나래 충주
Anonymous Moments / 갤러리 LP 서울
2024 This Moment / 갤러리 일호 서울
     Fragrance of This Moment / 09 Salon 서울
2023 Before Any Words / 갤러리코랄 서울
Before Any Words / 갤러리스틸 안산
     Before Any Words / 갤러리도스 서울
2022 Before Thinking / 갤러리한옥 서울 
Before Thinking / 사이아트스페이스 서울 
2021 Before Mind / 갤러리 너트 서울 
     Before Mind / CICA 김포 
2017 Vantage Point / Lobby Gallery at 1133 Avenue of Americas Presented by ChaShaMa & Durst Organization New York, NY
     Before Mind / ChaShaMa space at 55 Broadway New York, NY
2015 In Between / 갤러리 피랑 헤이리 
     In Between / 스페이스 선 플러스 서울 
2014 In Between / 갤러리 이마주 서울 
2012 Dialogue of Silence / Yashar Gallery Brooklyn, NY
2011 Dialogue of Silence / Amos Eno Gallery Brooklyn, NY 
2010 Dialogue of Silence / 팝아트팩토리 서울
     Dialogue of Silence / Chelsea West Gallery New York, NY

외 총 24회

Selected Group Exhibitions

2025 미술인선정작가전 / 갤러리영도씨 서울
70th 창작협회 그룹전시 / 마루아트센터 서울
Inspiration / 아트스퀘어갤러리 서울
MOAF / 아트필드갤러리 서울
  화양연화 / 스페이스 B TWO 이대서울병원 서울
  MOAF Rising Star 24 / 아트필드갤러리 서울
2024 Unknown Vibes Art Fair / 부띠크모나코뮤지엄 서울
Diaf Plus / Exco Hall 대구 
     RWA / 09 Salon 서울
     69th 창작협회 그룹전시 / 예술의 전당 서울 
MOAF 문래아트페어 / 아트필드갤러리 서울
     일상이몽 / 스페이스 B TWO 이대서울병원 서울
꿈과마주치다 / 갤러리일호 서울
2023 청년작가 작품전시회 / KT 광화문사옥 서울 
     서리풀 Art for Art 대상전 / 한전아트센터 서울
68th 창작협회 그룹전시 / 예술의 전당 서울 
아트강릉23 / 강릉아트센터 강릉
고택아트페스타 / 소양고택 완주
     A Long Way Around / 로이갤러리 서울
Abstract Mind 2023 / CICA 김포
2022 고택아트페어 / 소양고택 완주 
     Window of The Time / 이랜드갤러리 헤이리 파주
     67th 창작협회 그룹전시 / 예술의 전당 서울
아트 페어 BAMA / 벡스코 부산 
SHIM Invitational Winter 2022 Showcase / Shim on Artsy.net
2021 호텔 아트 페어 BAMA in Grand Josun / 그랜드조선호텔 부산 
SHIM Invitational Fall 2021 Showcase / Shim on Artsy.net
Crossing over the virtual space / ArtHub Virtual Gallery - arthub.co.kr/vrgallery 
66th 창작협회 그룹전시 / 예술의 전당 서울 
2020 SHIM Invitational Summer 2020 Showcase / Shim on Artsy.net
What Matters most / The Artist Essentials on theartistessentials.com
Drawings in A Time of Social Distancing / LIC Arts on licartists.org/non-traditional 
65th 창작협회 그룹전시 / 예술의 전당 서울 
2019 Aqua Art Miami / Aqua Hotel, Presented by Shim Miami, FL
Superfine Art Fair / Union Market Washinton D.C. 
Creative Mosaic / Plaxall Gallery Long Island City, NY
64th 창작협회 그룹전시 / 인사아트센터 서울 
Shim Invitational 7 / Odetta Gallery Brooklyn, NY
LIC Open Studios - Group Exhibition / Gallery Studio 34 LIC, NY
2018 Holiday Small Works / Limner Gallery Hudson, NY
     63rd 창작협회 그룹전시 / 예술의 전당 서울
     Bushwick Open Studio 2018 / Space 776 Gallery Brooklyn, NY
I DREAM in Blue and Green / LIC Arts Open Gallery at The Factory Long Island City, NY
Summer Exhibition 2018 / LIC Arts Open Gallery at The Factory LIC, NY
2017 Bushwick Invitational / Art Helix, organized by Shim Brooklyn, NY
     62nd 창작협회 그룹전시 / 예술의 전당 서울 
Making Connections / The Plaxall Gallery Long Island City, NY
     The Other Art Fair / Brooklyn EXPO Center Brooklyn, NY
     Design Art Fair / 예술의 전당 서울
2016 Wish You Were Here15 / A.I.R Gallery Brooklyn, NY
61st 창작협회 그룹전시 / 예술의 전당 서울 
2015 Art Canvas Project / 갤러리 41 서울
     Art Canvas Project / Gallerie Kunst Direkt Regensburg, Germany
세월호참사1주기추모전시회/ 예술의 전당 안산
     길위에 선 물건들 / 스페이스 선 플러스 서울 
2011 You Can Have Your Void And Eat It Too / Space Two Moon Brooklyn, NY
     AHL Foundation’s 2nd Silent Auction / The Space on White NY, NY
     Lucid Dreaming / Tompkins Square Gallery New York, NY
     Pop Up Art Show / Intermix Gallery The Chelsea Room in Hotel Chelsea New York, NY
Better by The Dozen / Beacon Artist Union Beacon, NY
In Vivid color / Euro Asian Art Center Vienna, Austria
2010 Crossroads - Seven Acts / Amos Eno Gallery Brooklyn, NY
     Unwind / Lana Santorelli Gallery New York, NY
     National Juried Show Media Mix / Bancroft Gallery South Shore Art Center MA
     National Juried Show Image Attitude Impression / Union Street Gallery Chicago, IL
     Show some Emotion / Sixth Street Gallery Vancouver, WA
2009 National Juried Show Unbound / The Art Center Highland Park, IL
     National Juried Show Not Big / Logsdon 1909 Gallery Chicago, IL
     Paint / Climate Gallery - Long Island City, NY
National Juried Show 20/20 / Artspace MAGQ Miami, FL
     25th Annual National Juried Exhibition New Directions / Barrett Art Center Poughkeepsie, NY
     6th Annual International Juried Exhibition / The Shore Institute of Contemporary Arts Long Branch NJ
2006 100+ / Bonington Building - Nottingham, UK
Itemised / Surface Gallery - Nottingham, UK
외 국내외 90여회

Selected Publications

2025 Featured Artist in Studio Visit Magazine (May)
2023 Featured Artist on ArtView 21 Ephotoview.com (July)
2022 Artists to Watch in 2023 in Art Continue Magazine (November)
Lacey Kim: Studio Visit in Friend of The Artist magazine (October)
     Featured in CICA Art Now in CICA magazine (September)
Featured Artist in Friend of The Artist magazine (February)
2021 Featured Artist in Boomer magazine (March)
2020 IN STUDIO: Featured Artist on TurningArt.com (October) 
Featured Artist on Altiba9.com Isue06 (October)
Artist of The Month on ArtJobs.com (June)
Featured Artist on Hyperallergic.com (April)
2018 Featured Artist on VoyageChicago.com (June)
2016 Featured Artist in Studio Visit Magazine (July)
2014 Artist of The Day on Saatchi Art (May)
Featured Artist on Saatchi Art’s Abstract Collection (February)
2012 Artist of The Week on Visual Overture online Magazine (April)

Selected Activities

전시 중 작가와의 대화 및 특강 등 Artist Talks & Public engagements
Awards and Recognitions

2025 미술인선정작가공모전 선정작가
2025 갤러리LP 신진작가공모전 선정작가
2025 충주문화재단 목계나래 무료대관공모 선정작가
2025 MOAF Rising Star 24 선정작가
2024 갤러리일호 신진작가공모전 선정작가 
2023 아트강릉23 최종22인 선정작가 
갤러리코랄 작가공모 선정작가
     서리풀갤러리 대상전 입선
     갤러리도스 작가공모 선정작가
2022 갤러리한옥 신진작가공모전 최우수상
2021 사이아트스페이스 신진작가공모전 선정작가
2021 갤러리 너트 신진작가공모전 선정작가
2020 Artist of The Month in Artjobs.com
2017 Selected Artist in ChaShaMa organization in NYC 
2015 스페이스선플러스 신진작가공모전 선정작가
2014 이마주갤러리 선정작가
외 다수

Public Collections

One Medical Group (Cobble Hill, Brooklyn Location), 서울동부지방법원






Selected Press and Interview

May. 2025 ‘Anonymous Moments’ – 김레이시23회개인전 / 시사의창
https://sisaissue.com/View.aspx?No=3650671 
Feb. 2025 MOAF Rising Star 24 / ArtField Gallery 아트필드갤러리
https://youtu.be/MD5bCU1cpM4?si=8zssMKIqcqncUGNi 
Oct. 2024 ‘This Moment’ / Misulin 미술인
https://www.misulin.co.kr/news/articleView.html?idxno=3196 
June. 2023 ‘Before Any Words’ / News Culture 그 어떤 말보다 / NC 전시관
https://www.newsculture.press/news/articleView.html?idxno=525673
Aug. 2022 ‘Zen Painting as Oil on Canvas’ – Lacey Kim Solo Exhibition Before Thinking / HyunBul NEWS 캔버스 오일 페인팅의 禪畵 ‘생각 이 전’ / 현대불교
http://www.hyunbulnews.com/news/articleView.html?idxno=406005 
Aug. 2017 'Meet The Others' - Lacey Kim / The Other Art Fair
https://www.youtube.com/watch?v=rf01ijTVQxA 
Apr. 2015 ‘Emerging Artist Lacey Kim Solo Exhibition IN BETWEEN At Space
Sun+’ / Voice of People 스페이스선 플러스 신진작가전’김레이시 개인전’ / 민중의소리
http://www.vop.co.kr/A00000866430.html
Sep. 2014 ‘Recommended Show by ART IN – Lacey Kim Solo Exhibition IN BETWEEN’ / Culture and Business Journal [아트인선정전시]갤러리이마주 김레이시 개인전 / CNB저널
http://weekly.cnbnews.com/news/article.html?no=114046
",167
김레이시,,Returning around 4,oil on canvas,19x19cm,2025,,"₩170,000","예술은 제게 삶의 본질이자 자연스러운 흐름이었습니다. 서울여자대학교 서양화과를 졸업하고, 영국 노팅엄 트렌트 대학교와 미국 프랫 인스티튜트에서 석사과정을 마쳤습니다. 구상 작업을 통해 회화의 구조적 기반을 다진 뒤, 추상 회화로 전환하면서 내면의 균형과 존재의 본질을 선과 색으로 탐구해 왔습니다. 뉴욕, 시카고, 빈, 마이애미, 서울 등 다양한 도시에서 전시를 이어오며, 서로 다른 문화와 미적 감각이 교차하는 지점을 작업 속에 반영하고 있습니다. 예술은 제게 자신을 이해하고 타인과 연결되는 하나의 언어이며, 이를 통해 관람자 각자의 감각과 경험이 예술을 통해 직관적으로 교류될 수 있을 가능성을 모색하고 있습니다. 현재는 이러한 경험을 바탕으로 예술의 교육적 확장에도 관심을 두고, 창작과 나눔이 공존하는 예술 활동을 지속하고 있습니다.","작가노트
하루는 전철을 타고 강을 건너던 중이었지. 창가 옆에 기대어 있던 터라 차창 너머 펼쳐지는 살아있는 풍경을 확연히 느낄 수가 있었어. 저녁 무렵 흩뿌려대는 빛깔이었을까 아니면 햇살이 강해 그 시간대 즈음으로 생각해 버린걸까. 정확히 하루의 언제쯤 이었던가를 기억해내기란 생각보다 쉽지 않아. 그 보다 되려 그 순간이 무작정 떠올라서 지금도 그 시간만큼은 감각하게 돼. 하나의 빛깔이 여러 표정으로 하늘의 저편에서 흔들리는 물결위에 내려 앉던 것은 그때 그걸 보고 있는 나와 함께 동시에 숨쉬는 살아있는 모두를 느끼게 했어. 이토록 눈부시게 흩날리는 것들이 나를 포함한 모두에게 연결되어 있음을 보아서라고 하고 싶어. 매번 나는 낯선 시간을 마주하고 또 이미 알았던 순간인양 익숙해져. 손을 뻗어 휙 혹은 주욱 몸짓으로 그려내는 나의 선들은 캔버스 위 종이 위를 내달려. 그리고는 그 순간 이대로 ‘있음’을 전적으로 절대적으로 증명해버리고 말지. 나의 진심은 그어낸 선들과 쌓이는 층들 안에서 또렷해질 수 있어. 각 순간에 새겨진 ‘나’들은 마땅히 나를 지나고 넘어 다른 이들을 떠올리게 하지. 행위로 펼쳐내는 내 작업은 그래서 더불어 숨쉬는 모두를 향한 경탄을 내뱉어내고 연결을 꿈꾸게 해. 색으로 선으로 표현하는 내 작업은 그러니 타자를 향한 존중에 닿아 있어. 그러므로 또한 그들이 역시 나와 다르지 않음을.
-----------------------------------------------------------------------------------------
한 손을 들어 크게 휘저어 허공에 선을 그어 본다. 그 순간, 그대로 존재하는 나를 발견하기란 어렵지 않다. 지나간 궤적의 옅어짐이 이미 있었던 것을 의심하게 한다 해도 행위는 지워지지 않고 그 자국은 그대로 남아있다. 어쩌면 이 가장 단순하고도 직접적인 행위 그 자체는 이순간 내가 살아가고 존재함을 드러내 주는 데에 그 어떤 것보다도 가장 적절히 증명하고 있지 않은가. 직관의 결과이자 내면을 있는 그대로 나타내 주는 선을 긋는 작업으로 나의 진심은 자연스레 표현되리라 믿는다. 선들의 결합과 그것이 여러 번 반복되어 화면에 쌓여 올라가는 경험을 통해 내가 더욱 더 나 다워지고, 각 순간 각인된 ‘나’들의 조합을 마주했을 때 그것이 심지어 나 자신과 다름없더라 말하는 것은 따라서 과장이라고 할 수 없을 것이다.
 때때로 말을 통한 증명을 넘어 그보다 직관적인 방식으로써 존재를 확연히 드러낼 수 있으리라 생각한다. 즉, 본질에 가까이 가려는 것은 역설적으로 나 자신을 반드시 드러내려 애쓰지 않아도 순간의 진심들이 모였을 때 오히려 그 존재의 의미는 선명히 발현될 수 있을지도 모른다는 것이다. 그리고 이것은 말하기 이전, 본래의 자리, 그 순간순간 속에서 구현되는 진심이라고도 할 수 있다. 작업을 해가면서 나자신을 마주하는 경험은 결국 자연스레 나 뿐 아닌 다른 이들의 순간 들에도 마음을 둘 수밖에 없게 한다. 이는 오로지 내존재에만 매몰되기보다는 안을 바라봄으로, 동시에 함께 존재하는 다른 이들을 떠올리지 않을 수 없게 하고 따라서 내 작업 안에 공존의 무게가 놓이는 것은 어려운 일이 아니다.
 캔버스 위 선들을 그려 화면이 차근히 채워지는 작업으로 나의 페인팅은 완수된다. 나의 상상은 화면 안의 선들이 화면을 벗어나서도 그대로 연장되고 연결되며, 다시 돌아온 선들은 그대로 캔버스 위를 안착하게 되는데 각각의 선들이 만들어내는 형태는 생각을 통해 이미 상정해 놓은 지점을 찾아 만들어가는 것이라기 보다는 직관적인 반응을 따라 즉각적으로 이루어진다고 말할 수 있겠다. 오랜 기간 동안 새롭게 쌓일 층을 만들기 위해서 화면의 채워진 선들 위로 바탕색에 가까운 색으로 완전히 덮은 뒤 그 과정을 반복해 작업을 이어왔다. 최근에는 여기다 더해 화면의 전체가 아닌 부분들을 덮고 그 위에 새로운 선들을 올려 층을 만들어내고 있는데, 이것은 존재를 드러내는 각각의 순간은 순차적으로 일어나 쌓여 의미 있는 것이라기 보다는 각 순간안에 놓인 존재는 그 자체로 이미 의미를 지니지 않을까 하던 생각에 기인한 것이다. 각각의 순간이 한번에 드러나 캔버스 화면에 보일 때 그 안에 놓인 나를 비롯한 모든 존재를 떠올리고 동시에 연결되고자 하는 것은 자연스러운 일이 된다. 캔버스 위 직관적인 제스쳐로 표현되는 이 작업을 통해 나자신을 나타내어 보이는 것은 결국 존재하는 다른 모든 이들을 향한 존중에 닿아 있다.  
","ducation

2009 MFA Pratt Institute NY, USA
2007 MA Nottingham Trent University, UK 
2003 서울여자대학교 서양화과 학사

Selected Solo Exhibitions

2025 Anonymous Moments / 충주문화재단 목계나래 충주
Anonymous Moments / 갤러리 LP 서울
2024 This Moment / 갤러리 일호 서울
     Fragrance of This Moment / 09 Salon 서울
2023 Before Any Words / 갤러리코랄 서울
Before Any Words / 갤러리스틸 안산
     Before Any Words / 갤러리도스 서울
2022 Before Thinking / 갤러리한옥 서울 
Before Thinking / 사이아트스페이스 서울 
2021 Before Mind / 갤러리 너트 서울 
     Before Mind / CICA 김포 
2017 Vantage Point / Lobby Gallery at 1133 Avenue of Americas Presented by ChaShaMa & Durst Organization New York, NY
     Before Mind / ChaShaMa space at 55 Broadway New York, NY
2015 In Between / 갤러리 피랑 헤이리 
     In Between / 스페이스 선 플러스 서울 
2014 In Between / 갤러리 이마주 서울 
2012 Dialogue of Silence / Yashar Gallery Brooklyn, NY
2011 Dialogue of Silence / Amos Eno Gallery Brooklyn, NY 
2010 Dialogue of Silence / 팝아트팩토리 서울
     Dialogue of Silence / Chelsea West Gallery New York, NY

외 총 24회

Selected Group Exhibitions

2025 미술인선정작가전 / 갤러리영도씨 서울
70th 창작협회 그룹전시 / 마루아트센터 서울
Inspiration / 아트스퀘어갤러리 서울
MOAF / 아트필드갤러리 서울
  화양연화 / 스페이스 B TWO 이대서울병원 서울
  MOAF Rising Star 24 / 아트필드갤러리 서울
2024 Unknown Vibes Art Fair / 부띠크모나코뮤지엄 서울
Diaf Plus / Exco Hall 대구 
     RWA / 09 Salon 서울
     69th 창작협회 그룹전시 / 예술의 전당 서울 
MOAF 문래아트페어 / 아트필드갤러리 서울
     일상이몽 / 스페이스 B TWO 이대서울병원 서울
꿈과마주치다 / 갤러리일호 서울
2023 청년작가 작품전시회 / KT 광화문사옥 서울 
     서리풀 Art for Art 대상전 / 한전아트센터 서울
68th 창작협회 그룹전시 / 예술의 전당 서울 
아트강릉23 / 강릉아트센터 강릉
고택아트페스타 / 소양고택 완주
     A Long Way Around / 로이갤러리 서울
Abstract Mind 2023 / CICA 김포
2022 고택아트페어 / 소양고택 완주 
     Window of The Time / 이랜드갤러리 헤이리 파주
     67th 창작협회 그룹전시 / 예술의 전당 서울
아트 페어 BAMA / 벡스코 부산 
SHIM Invitational Winter 2022 Showcase / Shim on Artsy.net
2021 호텔 아트 페어 BAMA in Grand Josun / 그랜드조선호텔 부산 
SHIM Invitational Fall 2021 Showcase / Shim on Artsy.net
Crossing over the virtual space / ArtHub Virtual Gallery - arthub.co.kr/vrgallery 
66th 창작협회 그룹전시 / 예술의 전당 서울 
2020 SHIM Invitational Summer 2020 Showcase / Shim on Artsy.net
What Matters most / The Artist Essentials on theartistessentials.com
Drawings in A Time of Social Distancing / LIC Arts on licartists.org/non-traditional 
65th 창작협회 그룹전시 / 예술의 전당 서울 
2019 Aqua Art Miami / Aqua Hotel, Presented by Shim Miami, FL
Superfine Art Fair / Union Market Washinton D.C. 
Creative Mosaic / Plaxall Gallery Long Island City, NY
64th 창작협회 그룹전시 / 인사아트센터 서울 
Shim Invitational 7 / Odetta Gallery Brooklyn, NY
LIC Open Studios - Group Exhibition / Gallery Studio 34 LIC, NY
2018 Holiday Small Works / Limner Gallery Hudson, NY
     63rd 창작협회 그룹전시 / 예술의 전당 서울
     Bushwick Open Studio 2018 / Space 776 Gallery Brooklyn, NY
I DREAM in Blue and Green / LIC Arts Open Gallery at The Factory Long Island City, NY
Summer Exhibition 2018 / LIC Arts Open Gallery at The Factory LIC, NY
2017 Bushwick Invitational / Art Helix, organized by Shim Brooklyn, NY
     62nd 창작협회 그룹전시 / 예술의 전당 서울 
Making Connections / The Plaxall Gallery Long Island City, NY
     The Other Art Fair / Brooklyn EXPO Center Brooklyn, NY
     Design Art Fair / 예술의 전당 서울
2016 Wish You Were Here15 / A.I.R Gallery Brooklyn, NY
61st 창작협회 그룹전시 / 예술의 전당 서울 
2015 Art Canvas Project / 갤러리 41 서울
     Art Canvas Project / Gallerie Kunst Direkt Regensburg, Germany
세월호참사1주기추모전시회/ 예술의 전당 안산
     길위에 선 물건들 / 스페이스 선 플러스 서울 
2011 You Can Have Your Void And Eat It Too / Space Two Moon Brooklyn, NY
     AHL Foundation’s 2nd Silent Auction / The Space on White NY, NY
     Lucid Dreaming / Tompkins Square Gallery New York, NY
     Pop Up Art Show / Intermix Gallery The Chelsea Room in Hotel Chelsea New York, NY
Better by The Dozen / Beacon Artist Union Beacon, NY
In Vivid color / Euro Asian Art Center Vienna, Austria
2010 Crossroads - Seven Acts / Amos Eno Gallery Brooklyn, NY
     Unwind / Lana Santorelli Gallery New York, NY
     National Juried Show Media Mix / Bancroft Gallery South Shore Art Center MA
     National Juried Show Image Attitude Impression / Union Street Gallery Chicago, IL
     Show some Emotion / Sixth Street Gallery Vancouver, WA
2009 National Juried Show Unbound / The Art Center Highland Park, IL
     National Juried Show Not Big / Logsdon 1909 Gallery Chicago, IL
     Paint / Climate Gallery - Long Island City, NY
National Juried Show 20/20 / Artspace MAGQ Miami, FL
     25th Annual National Juried Exhibition New Directions / Barrett Art Center Poughkeepsie, NY
     6th Annual International Juried Exhibition / The Shore Institute of Contemporary Arts Long Branch NJ
2006 100+ / Bonington Building - Nottingham, UK
Itemised / Surface Gallery - Nottingham, UK
외 국내외 90여회

Selected Publications

2025 Featured Artist in Studio Visit Magazine (May)
2023 Featured Artist on ArtView 21 Ephotoview.com (July)
2022 Artists to Watch in 2023 in Art Continue Magazine (November)
Lacey Kim: Studio Visit in Friend of The Artist magazine (October)
     Featured in CICA Art Now in CICA magazine (September)
Featured Artist in Friend of The Artist magazine (February)
2021 Featured Artist in Boomer magazine (March)
2020 IN STUDIO: Featured Artist on TurningArt.com (October) 
Featured Artist on Altiba9.com Isue06 (October)
Artist of The Month on ArtJobs.com (June)
Featured Artist on Hyperallergic.com (April)
2018 Featured Artist on VoyageChicago.com (June)
2016 Featured Artist in Studio Visit Magazine (July)
2014 Artist of The Day on Saatchi Art (May)
Featured Artist on Saatchi Art’s Abstract Collection (February)
2012 Artist of The Week on Visual Overture online Magazine (April)

Selected Activities

전시 중 작가와의 대화 및 특강 등 Artist Talks & Public engagements
Awards and Recognitions

2025 미술인선정작가공모전 선정작가
2025 갤러리LP 신진작가공모전 선정작가
2025 충주문화재단 목계나래 무료대관공모 선정작가
2025 MOAF Rising Star 24 선정작가
2024 갤러리일호 신진작가공모전 선정작가 
2023 아트강릉23 최종22인 선정작가 
갤러리코랄 작가공모 선정작가
     서리풀갤러리 대상전 입선
     갤러리도스 작가공모 선정작가
2022 갤러리한옥 신진작가공모전 최우수상
2021 사이아트스페이스 신진작가공모전 선정작가
2021 갤러리 너트 신진작가공모전 선정작가
2020 Artist of The Month in Artjobs.com
2017 Selected Artist in ChaShaMa organization in NYC 
2015 스페이스선플러스 신진작가공모전 선정작가
2014 이마주갤러리 선정작가
외 다수

Public Collections

One Medical Group (Cobble Hill, Brooklyn Location), 서울동부지방법원






Selected Press and Interview

May. 2025 ‘Anonymous Moments’ – 김레이시23회개인전 / 시사의창
https://sisaissue.com/View.aspx?No=3650671 
Feb. 2025 MOAF Rising Star 24 / ArtField Gallery 아트필드갤러리
https://youtu.be/MD5bCU1cpM4?si=8zssMKIqcqncUGNi 
Oct. 2024 ‘This Moment’ / Misulin 미술인
https://www.misulin.co.kr/news/articleView.html?idxno=3196 
June. 2023 ‘Before Any Words’ / News Culture 그 어떤 말보다 / NC 전시관
https://www.newsculture.press/news/articleView.html?idxno=525673
Aug. 2022 ‘Zen Painting as Oil on Canvas’ – Lacey Kim Solo Exhibition Before Thinking / HyunBul NEWS 캔버스 오일 페인팅의 禪畵 ‘생각 이 전’ / 현대불교
http://www.hyunbulnews.com/news/articleView.html?idxno=406005 
Aug. 2017 'Meet The Others' - Lacey Kim / The Other Art Fair
https://www.youtube.com/watch?v=rf01ijTVQxA 
Apr. 2015 ‘Emerging Artist Lacey Kim Solo Exhibition IN BETWEEN At Space
Sun+’ / Voice of People 스페이스선 플러스 신진작가전’김레이시 개인전’ / 민중의소리
http://www.vop.co.kr/A00000866430.html
Sep. 2014 ‘Recommended Show by ART IN – Lacey Kim Solo Exhibition IN BETWEEN’ / Culture and Business Journal [아트인선정전시]갤러리이마주 김레이시 개인전 / CNB저널
http://weekly.cnbnews.com/news/article.html?no=114046
",168
