"상품코드","자체 상품코드","진열상태","판매상태","상품분류 번호","상품분류 신상품영역","상품분류 추천상품영역","상품명","영문 상품명","상품명(관리용)","공급사 상품명","모델명","상품 요약설명","상품 간략설명","상품 상세설명","모바일 상품 상세설명 설정","모바일 상품 상세설명","검색어설정","과세구분","소비자가","공급가","상품가","판매가","판매가 대체문구 사용","판매가 대체문구","주문수량 제한 기준","최소 주문수량(이상)","최대 주문수량(이하)","적립금","적립금 구분","공통이벤트 정보","성인인증","옵션사용","품목 구성방식","옵션 표시방식","옵션세트명","옵션입력","옵션 스타일","버튼이미지 설정","색상 설정","필수여부","품절표시 문구","추가입력옵션","추가입력옵션 명칭","추가입력옵션 선택/필수여부","입력글자수(자)","이미지등록(상세)","이미지등록(목록)","이미지등록(작은목록)","이미지등록(축소)","이미지등록(추가)","제조사","공급사","브랜드","트렌드","자체분류 코드","제조일자","출시일자","유효기간 사용여부","유효기간","원산지","상품부피(cm)","상품결제안내","상품배송안내","교환/반품안내","서비스문의/안내","배송정보","배송방법","국내/해외배송","배송지역","배송비 선결제 설정","배송기간","배송비 구분","배송비입력","스토어픽업 설정","상품 전체중량(kg)","HS코드","상품 구분(해외통관)","상품소재","영문 상품소재(해외통관)","옷감(해외통관)","검색엔진최적화(SEO) 검색엔진 노출 설정","검색엔진최적화(SEO) Title","검색엔진최적화(SEO) Author","검색엔진최적화(SEO) Description","검색엔진최적화(SEO) Keywords","검색엔진최적화(SEO) 상품 이미지 Alt 텍스트","개별결제수단설정","상품배송유형 코드","메모"
"","SAF2026-248","Y","Y","43","Y","Y","다른 세계와의 교감 - 천지수","","[248] 천지수","","","회화 | oil on canvas | 90.9x72.7cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">다른 세계와의 교감</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">oil on canvas | 90.9x72.7cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","3600000","3600000","3600000","3600000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","248.png","248.png","248.png","248.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-249","Y","Y","43","Y","Y","정글의 대화 - 천지수","","[249] 천지수","","","회화 | oil on canvas | 73x61cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">정글의 대화</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">oil on canvas | 73x61cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","2400000","2400000","2400000","2400000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","249.png","249.png","249.png","249.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-250","Y","Y","43","Y","Y","아프리카 커피의 기억 - 천지수","","[250] 천지수","","","회화 | mixed media on canvas | 65.5x53cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">아프리카 커피의 기억</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">mixed media on canvas | 65.5x53cm | 2024</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","1800000","1800000","1800000","1800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","250.png","250.png","250.png","250.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-251","Y","Y","43","Y","Y","가족 family - 천지수","","[251] 천지수","","","회화 | oil on canvas | 27x27cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">가족 family</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">oil on canvas | 27x27cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","650000","650000","650000","650000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","251.png","251.png","251.png","251.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-252","Y","Y","43","Y","Y","Naturance - 류호식","","[252] 류호식","","","회화 | 흙 구운 후에 색칠 | 73x53cm","류호식 작가의 작품들은 부조리한 현실과 그 안에서 의미를 찾고자 하는 정서를 표명한다. 주로 자연에서 영감을 받는 그는 그 순간들의 소중함을 기록한다. 작가는 과거의 어둠을 통해 새로운 희망과 행복을 발견하며, 일상의 이상적인 순간을 간직하고자 하는 소망에서 작품을 제작한다. 류호식 작가는 '페이퍼클레이 페인팅' 기법을 사용한다. 1250도의 가마에서 소성되어 나온 작품들은 류호식 작가 작품 특유의 질감을 만들어낸다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Naturance</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">류호식</p><p style=""color: #888;"">흙 구운 후에 색칠 | 73x53cm | 2021</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">류호식 작가의 작품들은 부조리한 현실과 그 안에서 의미를 찾고자 하는 정서를 표명한다. 주로 자연에서 영감을 받는 그는 그 순간들의 소중함을 기록한다. 작가는 과거의 어둠을 통해 새로운 희망과 행복을 발견하며, 일상의 이상적인 순간을 간직하고자 하는 소망에서 작품을 제작한다. 류호식 작가는 '페이퍼클레이 페인팅' 기법을 사용한다. 1250도의 가마에서 소성되어 나온 작품들은 류호식 작가 작품 특유의 질감을 만들어낸다.</p></div></div>","A","","류호식,회화,씨앗페,SAF2026,미술,예술,작품","B","300000","300000","300000","300000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","252.png","252.png","252.png","252.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-253","Y","Y","43","Y","Y","순 돋는 나무 - 김지영","","[253] 김지영","","","회화 | 도자 | 26x26cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">순 돋는 나무</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김지영</p><p style=""color: #888;"">도자 | 26x26cm | 2016</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","김지영,회화,씨앗페,SAF2026,미술,예술,작품","B","200000","200000","200000","200000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","253.png","253.png","253.png","253.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-254","Y","Y","43","Y","Y","잎파리 - 김지영","","[254] 김지영","","","회화 | 도자 | 22x15.4cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">잎파리</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김지영</p><p style=""color: #888;"">도자 | 22x15.4cm | 확인 중</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","김지영,회화,씨앗페,SAF2026,미술,예술,작품","B","100000","100000","100000","100000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","254.png","254.png","254.png","254.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-255","Y","Y","43","Y","Y","각진 병 - 김태희","","[255] 김태희","","","회화 | 도자 | 27x22.5cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">각진 병</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김태희</p><p style=""color: #888;"">도자 | 27x22.5cm | 확인 중</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","김태희,회화,씨앗페,SAF2026,미술,예술,작품","B","150000","150000","150000","150000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","255.png","255.png","255.png","255.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-256","Y","Y","43","Y","Y","손 모은 사람 - 김정원","","[256] 김정원","","","회화 | 확인 중 | 25.4x19.2cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">손 모은 사람</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김정원</p><p style=""color: #888;"">확인 중 | 25.4x19.2cm | 확인 중</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","김정원,회화,씨앗페,SAF2026,미술,예술,작품","B","100000","100000","100000","100000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","256.png","256.png","256.png","256.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-257","Y","Y","43","Y","Y","무제 - 한애규","","[257] 한애규","","","회화 | 흙으로 빗어 굽고 색칠 | 19x14x2cm","한애규(b.1953)는 서울대학교에서 응용미술과와 동 대학원에서 도예를 전공하고 프랑스 앙굴렘 미술학교를 졸업하였다. 국내외 다수의 개인전과 단체전에 참여하였으며 주요 개인전으로는 《흙의 감정, 흙의 여정》(갤러리세줄, 2024), 《Beside》 (아트사이드 갤러리, 서울, 2022), 《푸른 길》 (아트사이드 갤러리, 서울, 2018), 《폐허에서》 (아트사이드 갤러리, 베이징, 2010), 《조우》 (포스코 미술관, 서울, 2009), 《꽃을 든 사람》 (가나 아트 센터, 서울, 2008) 과 주요 단체전은 《한국의 채색화 특별전》 (국립현대미술관, 과천, 2022>, 《토요일展》 (서울, 2012-2020), 《긴 호흡》 (소마미술관, 서울, 2014), 《테라코타, 원시적 미래》 (클레이아크 김해미술관, 경상남도, 2011) 등에 참여하였다. 주요 소장처로는 국립현대미술관, 서울시립미술관, 서울역사박물관, 대전시립미술관, 전북도립미술관, 서울시청, 이화여자대학교 박물관, 고려대학교 박물관 등이 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">무제</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">한애규</p><p style=""color: #888;"">흙으로 빗어 굽고 색칠 | 19x14x2cm | 2020</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">한애규(b.1953)는 서울대학교에서 응용미술과와 동 대학원에서 도예를 전공하고 프랑스 앙굴렘 미술학교를 졸업하였다. 국내외 다수의 개인전과 단체전에 참여하였으며 주요 개인전으로는 《흙의 감정, 흙의 여정》(갤러리세줄, 2024), 《Beside》 (아트사이드 갤러리, 서울, 2022), 《푸른 길》 (아트사이드 갤러리, 서울, 2018), 《폐허에서》 (아트사이드 갤러리, 베이징, 2010), 《조우》 (포스코 미술관, 서울, 2009), 《꽃을 든 사람》 (가나 아트 센터, 서울, 2008) 과 주요 단체전은 《한국의 채색화 특별전》 (국립현대미술관, 과천, 2022>, 《토요일展》 (서울, 2012-2020), 《긴 호흡》 (소마미술관, 서울, 2014), 《테라코타, 원시적 미래》 (클레이아크 김해미술관, 경상남도, 2011) 등에 참여하였다. 주요 소장처로는 국립현대미술관, 서울시립미술관, 서울역사박물관, 대전시립미술관, 전북도립미술관, 서울시청, 이화여자대학교 박물관, 고려대학교 박물관 등이 있다.</p></div></div>","A","","한애규,회화,씨앗페,SAF2026,미술,예술,작품","B","2000000","2000000","2000000","2000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","257.png","257.png","257.png","257.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
