"상품코드","자체 상품코드","진열상태","판매상태","상품분류 번호","상품분류 신상품영역","상품분류 추천상품영역","상품명","영문 상품명","상품명(관리용)","공급사 상품명","모델명","상품 요약설명","상품 간략설명","상품 상세설명","모바일 상품 상세설명 설정","모바일 상품 상세설명","검색어설정","과세구분","소비자가","공급가","상품가","판매가","판매가 대체문구 사용","판매가 대체문구","주문수량 제한 기준","최소 주문수량(이상)","최대 주문수량(이하)","적립금","적립금 구분","공통이벤트 정보","성인인증","옵션사용","품목 구성방식","옵션 표시방식","옵션세트명","옵션입력","옵션 스타일","버튼이미지 설정","색상 설정","필수여부","품절표시 문구","추가입력옵션","추가입력옵션 명칭","추가입력옵션 선택/필수여부","입력글자수(자)","이미지등록(상세)","이미지등록(목록)","이미지등록(작은목록)","이미지등록(축소)","이미지등록(추가)","제조사","공급사","브랜드","트렌드","자체분류 코드","제조일자","출시일자","유효기간 사용여부","유효기간","원산지","상품부피(cm)","상품결제안내","상품배송안내","교환/반품안내","서비스문의/안내","배송정보","배송방법","국내/해외배송","배송지역","배송비 선결제 설정","배송기간","배송비 구분","배송비입력","스토어픽업 설정","상품 전체중량(kg)","HS코드","상품 구분(해외통관)","상품소재","영문 상품소재(해외통관)","옷감(해외통관)","검색엔진최적화(SEO) 검색엔진 노출 설정","검색엔진최적화(SEO) Title","검색엔진최적화(SEO) Author","검색엔진최적화(SEO) Description","검색엔진최적화(SEO) Keywords","검색엔진최적화(SEO) 상품 이미지 Alt 텍스트","개별결제수단설정","상품배송유형 코드","메모"
"","SAF2026-192","Y","Y","43","Y","Y","옻사과 - 정채희","","[192] 정채희","","","회화 | 디지털프린트에 옻칠, 난각, 자개 | 65x70cm","정채희는 서울대학교 미술대학 회화과를 졸업하고 중국 북경 중앙미술학원 대학원에서 벽화 전공으로 졸업하였습니다. 천연 재료와 동양 전통 기법을 바탕으로 옻칠 작업을 중심으로 활동하고 있습니다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">옻사과</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">정채희</p><p style=""color: #888;"">디지털프린트에 옻칠, 난각, 자개 | 65x70cm | 2018</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">정채희는 서울대학교 미술대학 회화과를 졸업하고 중국 북경 중앙미술학원 대학원에서 벽화 전공으로 졸업하였습니다.</p></div></div>","A","","정채희,옻칠,씨앗페,SAF2026,미술,예술,작품","B","3800000","3800000","3800000","3800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","192.jpg","192.jpg","192.jpg","192.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-193","Y","Y","43","Y","Y","Ottogi – Pink DB Matte - 양순열","","[193] 양순열","","","조각 | Car paint on resin | 12×12×285mm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 존재와 사물 일반에 대한 깊은 시적 공감을 주제로 작업한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi – Pink DB Matte</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 12×12×285mm | 2021</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","5000000","5000000","5000000","5000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","193.jpg","193.jpg","193.jpg","193.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-194","Y","Y","43","Y","Y","정글 도서관의 카바리 - 천지수","","[194] 천지수","","","회화 | Oil on Canvas | 91x72.5cm","천지수는 책을 읽은 영감으로 그림을 그리고 글을 쓰는 '페인팅북리뷰' 작업을 해왔다. '도서관 환타지' 시리즈를 통해 지식, 자연, 시간이 융합된 세계를 표현한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">정글 도서관의 카바리</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">Oil on Canvas | 91x72.5cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">천지수는 책을 읽은 영감으로 그림을 그리고 글을 쓰는 '페인팅북리뷰' 작업을 해왔다.</p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","3600000","3600000","3600000","3600000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","194.jpg","194.jpg","194.jpg","194.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-195","Y","Y","43","Y","Y","책장 사이의 세계-봄 - 천지수","","[195] 천지수","","","회화 | Oil on Canvas | 34.8x27.3cm","천지수는 책을 읽은 영감으로 그림을 그리고 글을 쓰는 '페인팅북리뷰' 작업을 해왔다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">책장 사이의 세계-봄</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">천지수</p><p style=""color: #888;"">Oil on Canvas | 34.8x27.3cm | 2025</p></div></div>","A","","천지수,회화,씨앗페,SAF2026,미술,예술,작품","B","700000","700000","700000","700000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","195.jpg","195.jpg","195.jpg","195.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-196","Y","Y","43","Y","Y","병오마 1 - 우용민","","[196] 우용민","","","회화 | 한지에 먹 | 71x36cm","우용민은 수묵화 작가로 두륜, 지리산 등 자연을 주제로 작업하고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">병오마 1</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">우용민</p><p style=""color: #888;"">한지에 먹 | 71x36cm | 2026</p></div></div>","A","","우용민,수묵화,씨앗페,SAF2026,미술,예술,작품","B","700000","700000","700000","700000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","196.jpg","196.jpg","196.jpg","196.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-197","Y","Y","43","Y","Y","무제 - 박영선","","[197] 박영선","","","판화 | 석판화, 종이 | 확인 중","박영선은 중국 루쉰 미술대학에서 수학한 판화가이자 화가로, 현재 인도 오로빌에 거주하며 작업하고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">무제</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">박영선</p><p style=""color: #888;"">석판화, 종이 | 확인 중</p></div></div>","A","","박영선,판화,씨앗페,SAF2026,미술,예술,작품","B","1200000","1200000","1200000","1200000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","197.png","197.png","197.png","197.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-198","Y","Y","43","Y","Y","무제 - 박영선","","[198] 박영선","","","판화 | 석판화, 종이 | 확인 중","박영선은 중국 루쉰 미술대학에서 수학한 판화가이자 화가로, 현재 인도 오로빌에 거주하며 작업하고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">무제</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">박영선</p><p style=""color: #888;"">석판화, 종이 | 확인 중</p></div></div>","A","","박영선,판화,씨앗페,SAF2026,미술,예술,작품","B","1200000","1200000","1200000","1200000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","198.png","198.png","198.png","198.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-199","Y","Y","43","Y","Y","노무현(작품 다섯 점) - 박재동","","[199] 박재동","","","기타 | 확인 중 | 확인 중","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">노무현(작품 다섯 점)</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">박재동</p></div></div>","A","","박재동,씨앗페,SAF2026,미술,예술,작품","B","0","0","0","0","Y","가격문의","","1","1","","","","N","N","","","","","","","","","품절","","","","","199.png","199.png","199.png","199.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-200","Y","Y","43","Y","Y","꽃 - 박재동","","[200] 박재동","","","기타 | 확인 중 | 확인 중","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">꽃</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">박재동</p></div></div>","A","","박재동,씨앗페,SAF2026,미술,예술,작품","B","2400000","2400000","2400000","2400000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","200.jpg","200.jpg","200.jpg","200.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-201","Y","Y","43","Y","Y","노무현 - 박재동","","[201] 박재동","","","기타 | 확인 중 | 확인 중","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">노무현</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">박재동</p></div></div>","A","","박재동,씨앗페,SAF2026,미술,예술,작품","B","1500000","1500000","1500000","1500000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","201.jpg","201.jpg","201.jpg","201.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
