"상품코드","자체 상품코드","진열상태","판매상태","상품분류 번호","상품분류 신상품영역","상품분류 추천상품영역","상품명","영문 상품명","상품명(관리용)","공급사 상품명","모델명","상품 요약설명","상품 간략설명","상품 상세설명","모바일 상품 상세설명 설정","모바일 상품 상세설명","검색어설정","과세구분","소비자가","공급가","상품가","판매가","판매가 대체문구 사용","판매가 대체문구","주문수량 제한 기준","최소 주문수량(이상)","최대 주문수량(이하)","적립금","적립금 구분","공통이벤트 정보","성인인증","옵션사용","품목 구성방식","옵션 표시방식","옵션세트명","옵션입력","옵션 스타일","버튼이미지 설정","색상 설정","필수여부","품절표시 문구","추가입력옵션","추가입력옵션 명칭","추가입력옵션 선택/필수여부","입력글자수(자)","이미지등록(상세)","이미지등록(목록)","이미지등록(작은목록)","이미지등록(축소)","이미지등록(추가)","제조사","공급사","브랜드","트렌드","자체분류 코드","제조일자","출시일자","유효기간 사용여부","유효기간","원산지","상품부피(cm)","상품결제안내","상품배송안내","교환/반품안내","서비스문의/안내","배송정보","배송방법","국내/해외배송","배송지역","배송비 선결제 설정","배송기간","배송비 구분","배송비입력","스토어픽업 설정","상품 전체중량(kg)","HS코드","상품 구분(해외통관)","상품소재","영문 상품소재(해외통관)","옷감(해외통관)","검색엔진최적화(SEO) 검색엔진 노출 설정","검색엔진최적화(SEO) Title","검색엔진최적화(SEO) Author","검색엔진최적화(SEO) Description","검색엔진최적화(SEO) Keywords","검색엔진최적화(SEO) 상품 이미지 Alt 텍스트","개별결제수단설정","상품배송유형 코드","메모"
"","SAF2026-202","Y","Y","43","Y","Y","무제 - 강레아","","[202] 강레아","","","기타 | 확인 중 | 66x45cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">무제</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">강레아</p><p style=""color: #888;"">66x45cm</p></div></div>","A","","강레아,씨앗페,SAF2026,미술,예술,작품","B","2800000","2800000","2800000","2800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","202.jpg","202.jpg","202.jpg","202.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-203","Y","Y","43","Y","Y","연탄집게 - 신학철","","[203] 신학철","","","회화 | Mixed media on canvas | 80x46.5cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">연탄집게</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">Mixed media on canvas | 80x46.5cm | 1977</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","30000000","30000000","30000000","30000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","203.jpg","203.jpg","203.jpg","203.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-204","Y","Y","43","Y","Y","지성 - 신학철","","[204] 신학철","","","회화 | Mixed media on canvas | 45.5x33.3cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">지성</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">Mixed media on canvas | 45.5x33.3cm | 1974</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","20000000","20000000","20000000","20000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","204.jpg","204.jpg","204.jpg","204.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-205","Y","Y","43","Y","Y","비상탈출-1 - 신학철","","[205] 신학철","","","회화 | Oil on canvas | 53.5x63cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">비상탈출-1</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">Oil on canvas | 53.5x63cm | 1973</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","30000000","30000000","30000000","30000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","205.jpg","205.jpg","205.jpg","205.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-206","Y","Y","43","Y","Y","남북회담장에서 - 신학철","","[206] 신학철","","","회화 | 종이에 콜라주 | 52x38cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">남북회담장에서</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">종이에 콜라주 | 52x38cm | 1993</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","6000000","6000000","6000000","6000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","206.jpg","206.jpg","206.jpg","206.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-207","Y","Y","43","Y","Y","내가 사는 도시-1 - 신학철","","[207] 신학철","","","회화 | Oil on canvas | 68x94cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">내가 사는 도시-1</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">Oil on canvas | 68x94cm | 1967</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","40000000","40000000","40000000","40000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","207.jpg","207.jpg","207.jpg","207.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-208","Y","Y","43","Y","Y","한국현대사 유체이탈 - 신학철","","[208] 신학철","","","회화 | 캔버스 유채 | 116.8x91.0cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">한국현대사 유체이탈</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">캔버스 유채 | 116.8x91.0cm | 2017</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","65000000","65000000","65000000","65000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","208.jpg","208.jpg","208.jpg","208.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-209","Y","Y","43","Y","Y","비상탈출-3 - 신학철","","[209] 신학철","","","회화 | Oil on canvas | 50x65.2cm","신학철(1943‒)은 민중미술 경향의 작가로 한국 근현대사의 주요 사건을 극사실주의 기법과 포토몽타주 기법을 이용하여 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">비상탈출-3</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">신학철</p><p style=""color: #888;"">Oil on canvas | 50x65.2cm | 1973</p></div></div>","A","","신학철,민중미술,씨앗페,SAF2026,미술,예술,작품","B","30000000","30000000","30000000","30000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","209.jpg","209.jpg","209.jpg","209.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-210","Y","Y","43","Y","Y","춘무인추무의 - 오윤","","[210] 오윤","","","목판화 | 목판화 | 65.5x48cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다. 목판화를 통해 한국적 원형을 현대적으로 재해석하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">춘무인추무의</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 65.5x48cm | 1985</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1950000","1950000","1950000","1950000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","210.jpg","210.jpg","210.jpg","210.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-211","Y","Y","43","Y","Y","팔엽일화 - 오윤","","[211] 오윤","","","목판화 | 목판화 | 50x50cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">팔엽일화</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 50x50cm | 1985</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1950000","1950000","1950000","1950000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","211.jpg","211.jpg","211.jpg","211.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-212","Y","Y","43","Y","Y","귀향 - 오윤","","[212] 오윤","","","목판화 | 목판화 | 25x32cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">귀향</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 25x32cm | 1984</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1950000","1950000","1950000","1950000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","212.jpg","212.jpg","212.jpg","212.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-213","Y","Y","43","Y","Y","대지 - 오윤","","[213] 오윤","","","목판화 | 목판화 | 36x43.3cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">대지</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 36x43.3cm | 1983</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1950000","1950000","1950000","1950000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","213.jpg","213.jpg","213.jpg","213.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-214","Y","Y","43","Y","Y","소리꾼1 - 오윤","","[214] 오윤","","","목판화 | 목판화 | 25.5x34.5cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">소리꾼1</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 25.5x34.5cm | 1985</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1550000","1550000","1550000","1550000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","214.jpg","214.jpg","214.jpg","214.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-215","Y","Y","43","Y","Y","춤2 - 오윤","","[215] 오윤","","","목판화 | 목판화 | 29x22.5cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">춤2</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 29x22.5cm | 1982</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1550000","1550000","1550000","1550000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","215.jpg","215.jpg","215.jpg","215.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-216","Y","Y","43","Y","Y","형님 - 오윤","","[216] 오윤","","","목판화 | 목판화 | 24x34cm","오윤은 한국 현대미술의 거대한 산맥이자 민중의 삶을 예술로 승화시킨 작가이다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">형님</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">오윤</p><p style=""color: #888;"">목판화 | 24x34cm | 1984</p></div></div>","A","","오윤,목판화,민중미술,씨앗페,SAF2026,미술,예술,작품","B","1550000","1550000","1550000","1550000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","216.jpg","216.jpg","216.jpg","216.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
"","SAF2026-217","Y","Y","43","Y","Y","그림움이 물들면 - 최병수","","[217] 최병수","","","조각 | 철제 | 32x1400x5000cm","최병수(1960년생)는 노동자 출신 전업화가로 1980년대 문화예술운동을 대표하는 수많은 걸개그림들을 제작하였다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">그림움이 물들면</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">최병수</p><p style=""color: #888;"">철제 | 32x1400x5000cm | 2025</p></div></div>","A","","최병수,민중미술,씨앗페,SAF2026,미술,예술,작품","B","50000000","50000000","50000000","50000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","217.jpg","217.jpg","217.jpg","217.jpg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","",""
